hydro_rum_name,name,
1423 3rd Edt. Panama 17y,,
1931 (1st Edition) St Lucia Distillers,1931 80th Anniversary,
1931 (2nd Edition) St Lucia Distillers,1931 81st Anniversary,
1931 (3rd Edition) St Lucia Distillers,1931 82nd Anniversary,
1931 (4th Edition) St Lucia Distillers,1931 83rd Anniversary,
1931 (5th Edition) St Lucia Distillers,1931 84th Anniversary,
1931 St Lucia Distillers ‚Äì Chairman‚Äôs Reserve,,
1931 St Lucia Distillers 6th Edition,1931 85th Anniversary,
970 Rum Agricola Da Madeira Single Cask¬†Edition Cask 20 2017,970 Single Cask,
A.H Riise Danish Royal Navy Rum,A. H. Riise Royal Danish Navy 40%,
"A.H Riise XO Reserve Rum ""Sauternes Cask"" Limited Edition",A. H. Riise XO Reserve Sauternes Cask,
A.H.Riise Centennial Celebration,A. H. Riise Centennial Celebration,
A.H.Riise Non-Plus Ultra Very Rare Rum,A. H. Riise Non Plus Ultra Very Rare,
A.H.Riise Royal Danish Navy Rom,A. H. Riise Royal Danish Navy 40%,
A.H.Riise XO Port Cask Finish,A. H. Riise XO Reserve Port Cask,
A1710 La Perle Brute,A 1710 2018 La Perle Brute,
A1710 Nu√©e Ardente,A 1710 NuÃ©e Ardente,
Ableforth‚Äôs Rumbullion Navy Strength,,
Ableforth‚Äôs Rumbullion Spirit Drink,,
About Brazil Organic Cachaca Gold,,
About Brazil Organic Cachaca Silver,,
Adelphi Hampden 15yo,,
Admiral Benbow Fine Old Navy Rum,Admiral Benbow Superior Tot,
Admiral Rodney - HMS Formidable,Admiral Rodney HMS Formidable,
Admiral Rodney - HMS Princessa,Admiral Rodney HMS Princessa,
Admiral Rodney - HMS Royal Oak,Admiral Rodney HMS Royal Oak,
Admiral Rodney Finest St Lucia Rum,,
Aguardente de Cana Rum Agricola da Madeira Calheta,,
Alnwick Golden Spiced¬†Rum,Alnwick Spiced,
Alnwick Rum Golden Spiced,Alnwick Spiced,
Alnwick Rum White Knight,Almirante Blanco,
Aluna Coconut Rum,Aluna Coconut,
Ancient Mariner (Caroni 16 Year),Ancient Mariner Navy,
Angostura 1824,Angostura 1824 12-Year,
Angostura 1919,Angostura 1919 8-Year,
Angostura 5 Year Old Rum,Angostura 5-Year,
Angostura Cask no.1 1st edt.,,
Angostura Cask no.1 Oloroso Sherry cask,Angostura Number 1 Sherry Cask,
Angostura No1 Cask (1st Edition),Angostura Cask Collection Number 1 Bourbon Cask,
Angostura No1 Cask (2nd Edition Purple),Angostura Cask Collection Number 1 French Oak Cask 16-Year,
Antigua Distillery Velier ‚ÄúHeavy‚Äù Rum,,
Appleton ‚ÄúJoy‚Äù 25yo,Appleton Estate Joy 25-Year,
Appleton 12yo ‚ÄúRare Blend‚Äù Rum,Appleton Estate Rare Blend 12-Year,
Appleton 30 Year Old (2nd Edition),Appleton Estate Limited Edition 30-Year,
Appleton Estate 12,Appleton Estate 12-Year,
Appleton Estate 12 Year Old,Appleton Estate 12-Year,
Appleton Estate 21,Appleton Estate 21-Year,
Appleton Estate Aged 21 Years,Appleton Estate 21-Year,
Appleton Estate Rare Blend Aged 12 Years (formerly Extra),Appleton Estate Rare Blend 12-Year,
Appleton Estate Reserve (8 Year Old),Appleton Estate Reserve,
Appleton Estate Reserve Blend,Appleton Estate Reserve Blend,
Appleton Estate Signature Blend (formerly V/X),Appleton Estate Signature Blend,
Appleton Estate V/X,Appleton Estate V/X,
Appleton EXCLUSIVE Rum,Appleton Estate Exclusive,
Appleton Master Blenders‚Äô Legacy (MBL),Appleton Estate Master Blender's Legacy,
Appleton Special,Appleton Estate Special Gold,
Appleton White,Appleton Estate White,
Arborea Blend Amburana e Carvalho,,
Arcane Extraroma,Arcane Extraroma 12-Year,
Arehucas Carta Oro,Arecha Carta Oro,
Atlantico Gran Reserva,Atlantico Gran Reserva,
Atlantico Private Cask,Atlantico Private Cask,
Atlantico Reserva,Atlantico Reserva,
Bacardi 8,Bacardi 8,
Bacardi Anejo,Bacardi AÃ±ejo,
Bacardi Anejo Cuatro Aged 4 Years,Bacardi Anejo Cuatro 4-Year,
Bacardi Carta Fuego (Red Spiced Rum),Bacardi Carta Fuego,
Bacardi Facundo Eximo 10 Year¬†Old,,
Bacardi Facundo Exquisito,,
Bacardi Gold (Carta Oro),Bacardi Gold,
Bacardi Gran Reserva,Bacardi Gran Reserva 8-Year,
Bacardi Gran Reserva (Maestro de Ron),Bacardi Gran Reserva Maestro de Ron,
Bacardi Gran Reserva Limitada Rum,,
Bacardi Major Lazer Limited Edition,Bacardi Major Lazer Limited Edition,
Bacardi Reserva,Bacardi Reserva,
Bacardi Reserva Limitada,Bacardi Reserva Limitada,
Bacardi Reserva Ocho Rare Gold Rum Aged 8 Years (Bottle number AV2630),Bacardi Reserva Ocho 8-Year,
Bacardi Single Cane Worthy Park,,
Bacardi Spice,Bacardi Spice,
Bacardi Superior,Bacardi Superior,
Banks 5 Island Rum,Banks 5-Island,
Banks Connoisseurs Cut Guyana,Banks Guyana Connoisseur's Cut 56.46%,
Barbancourt 5 Star (8 Year Old),Barbancourt 5 Star Reserve Especiale 8-Year,
Bayou Gold,,
Bayou Select,Bayou Select,
Bayou Single Barrel,Bayou Special Release Single Barrel,
BBR 18 Year Old Caroni Rum,,
BemBom Cachaca do Brasil,,
Bermudez 1852 Aniversario,Bermudez Aniversario,
Berry Bros & Rudd 26 Year Old Uitvlugt Rum Exclusive to the Whisky Barrel,,
Berry Bros & Rudd Hampden 17 Year Old TWB Exclusive Cask #27,,
Berry Bros & Rudd Hampden 17 Year Old TWB Exclusive Cask #54,,
Berry Bros & Rudd The Classic Range Barbados Rum,,
Berrys' Barbados Rum Aged 12 Years,Berry Bros. & Rudd Barbados 12-Year,
Berrys' Finest Fijian Rum Aged 8 Years,Berry's Fijian 8-Year,
Berrys' Panama Aged 11 Years,Berry Bros. & Rudd Panama 11-Year,
Berrys' St Lucia Aged 11 Years,Berry Bros. & Rudd 1999 St. Lucia 11-Year,
Berrys¬¥ Caribbean Rum XO,Berry Bros. & Rudd Caribbean XO,
Berrys¬¥ Own Selection Finest Jamaican Rum 1990,Berry's Jamaican 12-Year,
Berrys¬¥ Own Selection Finest Nicaraguan Rum 1999,Berry's Nicaraguan 11-Year,
Berrys¬¥ Reserve Demerara Rum 1975 (Port Morant),Berry Bros. & Rudd 1975 Port Morant,
Bimber Distillery Handcrafted London Rum Batch No 001,,
Black Magic - Black Spiced,Black Magic Black Spiced,
Black Tears Spiced Rum,Black Tears Spiced,
Black Tot - Finest Caribbean,,
Blackadder Barbados¬†Foursquare¬†2004-10yo,,
Blackadder Hampden Aged 16 Years,"Blackadder Finest Jamaica Hampden 56,1% 16-Year",
Blackadder Raw Cask Jamaica Hampden Rum 15 Years Old,Blackadder Jamaica Hamden 15-Year,
Blackadder Raw Cask Rum Foursquare 11 Years Old,Blackadder Barbados Raw Cask Four Square 11-Year,
Blackwell Fine Jamaican Rum,,
Botran Ron Anejo 12,Botran Anejo 12-Year,
Botran Ron Anejo 18 Sistema Solera,Botran 18-Year,
Botran Ron Anejo 8 Sistema Solera,Botran Anejo 8-Year,
Bounty Fiji Rum Premium Overproof Rum,,
Bounty Saint Lucia Rum Premium Dark,,
Bounty St Lucia Rum,,
Braunstein Sankt Croix,,
Bristol Classic Rum 8 Year Worthy Park Estate,Bristol Classic 2007 Jamaica Worhty Park 8-Year,
Bristol Classic Rum Barbados Foursquare 2004-2016,Bristol Classic 2004 Foursquare,
Bristol Classic Rum Caribbean Collection (Trinidad and Tobago),,
Bristol Classic Rum Caroni 1997,Bristol Classic 1997 Caroni,
Bristol Classic Rum Cuban Rum 2003-2013,Bristol Classic 2003 Cuban Sancti Spiritus 12-Year,
Bristol Classic Rum Diamond Distillery 1998,,
Bristol Classic Rum Enmore Still 1988,,
