hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source
1423 3rd Edt. Panama 17y,43,40.3,10,decon
1931 (1st Edition) St Lucia Distillers,43,42.5,0,fat rum pirate
1931 (2nd Edition) St Lucia Distillers,43,43,0,fat rum pirate
1931 (3rd Edition) St Lucia Distillers,43,40,12,fat rum pirate
1931 (4th Edition) St Lucia Distillers,43,42.5,0,fat rum pirate
1931 (5th Edition) St Lucia Distillers,46,45,0,fat rum pirate
1931 St Lucia Distillers – Chairman’s Reserve,46,46,0,fat rum pirate
1931 St Lucia Distillers 6th Edition,46,46,0,fat rum pirate
970 Rum Agricola Da Madeira Single Cask Edition Cask 20 2017,52.8,53,0,rumshopboy
A.H Riise Danish Royal Navy Rum,40,10,92,fat rum pirate
"A.H Riise XO Reserve Rum ""Sauternes Cask"" Limited Edition",40,17,72,fat rum pirate
A.H.Riise Centennial Celebration,45,23.5,76,decon
A.H.Riise Non-Plus Ultra Very Rare Rum,42,16.2,82,decon
A.H.Riise Royal Danish Navy Rom,40,19,66,decon
A.H.Riise XO Port Cask Finish,45,32.4,48,decon
A1710 La Perle Brute,66,66,0,fat rum pirate
A1710 Nuée Ardente,44.7,45,0,rumshopboy
Ableforth’s Rumbullion Navy Strength,57,34,103,rumshopboy
Ableforth’s Rumbullion Spirit Drink,42.6,30.8,43,rumshopboy
About Brazil Organic Cachaca Gold,40,40,0,fat rum pirate
About Brazil Organic Cachaca Silver,40,40,0,fat rum pirate
Adelphi Hampden 15yo,54.3,54.3,0,rumshopboy
Admiral Benbow Fine Old Navy Rum,37.5,37.5,0,fat rum pirate
Admiral Rodney - HMS Formidable,40,40,0,fat rum pirate
Admiral Rodney - HMS Princessa,40,40,0,fat rum pirate
Admiral Rodney - HMS Royal Oak,40,40,0,fat rum pirate
Admiral Rodney Finest St Lucia Rum,40,40,0,fat rum pirate
Aguardente de Cana Rum Agricola da Madeira Calheta,50,50,0,fat rum pirate
Alnwick Golden Spiced Rum,40,33,26,rumshopboy
Alnwick Rum Golden Spiced,40,37,12,fat rum pirate
Alnwick Rum White Knight,37.5,37,0,fat rum pirate
Aluna Coconut Rum,35,27,25,fat rum pirate
Ancient Mariner (Caroni 16 Year),54,54,0,fat rum pirate
Angostura 1824,40,35.2,18,decon
Angostura 1919,40,36.5,13,decon
Angostura 5 Year Old Rum,40,40,0,fat rum pirate
Angostura Cask no.1 1st edt.,40,30.7,32,decon
Angostura Cask no.1 Oloroso Sherry cask,40,39.4,0,decon
Angostura No1 Cask (1st Edition),40,31,32,fat rum pirate
Angostura No1 Cask (2nd Edition Purple),40,35,19,fat rum pirate
Antigua Distillery Velier “Heavy” Rum,66,66,0,rumshopboy
Appleton “Joy” 25yo,45,45,0,rumshopboy
Appleton 12yo “Rare Blend” Rum,43,43,0,rumshopboy
Appleton 30 Year Old (2nd Edition),45,45,0,rumshopboy
Appleton Estate 12,43,42.7,0,decon
Appleton Estate 12 Year Old,43,43,0,fat rum pirate
Appleton Estate 21,43,42.8,0,decon
Appleton Estate Aged 21 Years,43,43,0,fat rum pirate
Appleton Estate Rare Blend Aged 12 Years (formerly Extra),43,43,0,fat rum pirate
Appleton Estate Reserve (8 Year Old),40,40,0,fat rum pirate
Appleton Estate Reserve Blend,40,40,0,fat rum pirate
Appleton Estate Signature Blend (formerly V/X),40,40,0,fat rum pirate
Appleton Estate V/X,40,40,0,fat rum pirate
Appleton EXCLUSIVE Rum,43,43,0,rumshopboy
Appleton Master Blenders’ Legacy (MBL),43,43,0,rumshopboy
Appleton Special,40,40,0,fat rum pirate
Appleton White,37.5,37.5,0,fat rum pirate
Arborea Blend Amburana e Carvalho,39,39,0,fat rum pirate
Arcane Extraroma,40,35.1,18,decon
Arehucas Carta Oro,37.5,35,9,fat rum pirate
Atlantico Gran Reserva,40,40,0,fat rum pirate
Atlantico Private Cask,40,33.2,25,decon
Atlantico Reserva,40,38.5,6,fat rum pirate
Bacardi 8,40,37,12,fat rum pirate
Bacardi Anejo,38,35,12,fat rum pirate
Bacardi Anejo Cuatro Aged 4 Years,40,38,8,fat rum pirate
Bacardi Carta Fuego (Red Spiced Rum),40,10,92,fat rum pirate
Bacardi Facundo Eximo 10 Year Old,40,37,12,rumshopboy
Bacardi Facundo Exquisito,40,36,15,fat rum pirate
Bacardi Gold (Carta Oro),40,40,0,fat rum pirate
Bacardi Gran Reserva,40,35.3,17,decon
Bacardi Gran Reserva (Maestro de Ron),40,35,19,fat rum pirate
Bacardi Gran Reserva Limitada Rum,40,40,0,rumshopboy
Bacardi Major Lazer Limited Edition,40,38,8,fat rum pirate
Bacardi Reserva,40,36,15,fat rum pirate
Bacardi Reserva Limitada,40,36,15,decon
Bacardi Reserva Ocho Rare Gold Rum Aged 8 Years (Bottle number AV2630),40,37,12,fat rum pirate
Bacardi Single Cane Worthy Park,40,36,15,fat rum pirate
Bacardi Spice,40,34.1,22,decon
Bacardi Superior,37.5,37.5,0,decon
Banks 5 Island Rum,43,42.5,0,fat rum pirate
Banks Connoisseurs Cut Guyana,59.58,59.5,0,fat rum pirate
Barbancourt 5 Star (8 Year Old),43,41.5,6,fat rum pirate
Bayou Gold,40,36.8,12,rumshopboy
Bayou Select,40,39.5,0,fat rum pirate
Bayou Single Barrel,40,40,0,fat rum pirate
BBR 18 Year Old Caroni Rum,46,46,0,rumshopboy
BemBom Cachaca do Brasil,38,38,0,fat rum pirate
Bermudez 1852 Aniversario,40,40,0,fat rum pirate
Berry Bros & Rudd 26 Year Old Uitvlugt Rum Exclusive to the Whisky Barrel,55.3,55.5,0,fat rum pirate
Berry Bros & Rudd Hampden 17 Year Old TWB Exclusive Cask #27,57.2,57.5,0,fat rum pirate
Berry Bros & Rudd Hampden 17 Year Old TWB Exclusive Cask #54,58.1,58.5,0,fat rum pirate
Berry Bros & Rudd The Classic Range Barbados Rum,40.5,41,0,fat rum pirate
Berrys' Barbados Rum Aged 12 Years,46,46,0,fat rum pirate
Berrys' Finest Fijian Rum Aged 8 Years,46,47,0,fat rum pirate
Berrys' Panama Aged 11 Years,46,44,9,fat rum pirate
Berrys' St Lucia Aged 11 Years,46,46,0,fat rum pirate
Berrys´ Caribbean Rum XO,46,44.5,7,decon
Berrys´ Own Selection Finest Jamaican Rum 1990,46,46.3,0,decon
Berrys´ Own Selection Finest Nicaraguan Rum 1999,46,46.3,0,decon
Berrys´ Reserve Demerara Rum 1975 (Port Morant),46,44.8,6,decon
Bimber Distillery Handcrafted London Rum Batch No 001,40,40,0,fat rum pirate
Black Magic - Black Spiced,40,20,64,fat rum pirate
Black Tears Spiced Rum,40,37.5,10,fat rum pirate
Black Tot - Finest Caribbean,46.2,46,0,fat rum pirate
Blackadder Barbados Foursquare 2004-10yo,64.4,64,0,rumshopboy
Blackadder Hampden Aged 16 Years,56.1,56.5,0,fat rum pirate
Blackadder Raw Cask Jamaica Hampden Rum 15 Years Old,57,57,0,fat rum pirate
Blackadder Raw Cask Rum Foursquare 11 Years Old,62,62,0,fat rum pirate
Blackwell Fine Jamaican Rum,40,40,0,fat rum pirate
Botran Ron Anejo 12,40,40,0,fat rum pirate
Botran Ron Anejo 18 Sistema Solera,40,40,0,fat rum pirate
Botran Ron Anejo 8 Sistema Solera,40,40,0,fat rum pirate
Bounty Fiji Rum Premium Overproof Rum,58,58,0,fat rum pirate
Bounty Saint Lucia Rum Premium Dark,43,43,0,fat rum pirate
Bounty St Lucia Rum,40,40,0,fat rum pirate
Braunstein Sankt Croix,40,40.6,0,decon
Bristol Classic Rum 8 Year Worthy Park Estate,43,43,0,fat rum pirate
Bristol Classic Rum Barbados Foursquare 2004-2016,43,43,0,fat rum pirate
Bristol Classic Rum Caribbean Collection (Trinidad and Tobago),40,40,0,fat rum pirate
Bristol Classic Rum Caroni 1997,61.5,62,0,fat rum pirate
Bristol Classic Rum Cuban Rum 2003-2013,43,43,0,fat rum pirate
Bristol Classic Rum Diamond Distillery 1998,40,39.5,0,fat rum pirate
Bristol Classic Rum Enmore Still 1988,43,42,0,fat rum pirate
Bristol Classic Rum Port Morant 1990 -2015 (Oloroso Sherry Finish),46,46,0,fat rum pirate
Bristol Classic Rum Port Morant 1990 (Port Finish),46,46,0,fat rum pirate
Bristol Classic Rum Providence Estate 1990-2012,46,40,26,fat rum pirate
Bristol Classic Rum Reserve Rum of Grenada (Distilled in 2003),43,43,0,fat rum pirate
Bristol Classic Rum Rockley Still 1986-2012 (Sherry Finish),46,43,13,fat rum pirate
Bristol Classis Rum Caroni 1974,46,46.5,0,decon
Bristol Classis Rum Caroni 1996,43,43.5,0,decon
Bristol Classis Rum Fine Barbados Rum 2003,43,43,0,decon
