hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source,name,company,country,ratings,score,type,rum_url,img_url,br_score,id,itemId,itemNumber,company_name,name2,price,volume,pricePerLiter,salesStart,packaging,seal,origin,countryOfOrigin,producer,supplier,vintage,alcoholByVolume,assortment,organic,kosher,base,price_per_liter_usd
1931 (1st Edition) St Lucia Distillers,43,42.5,0,fat rum pirate,1931 80th Anniversary,1931,Saint Lucia,4,7.8,Aged,/brands/1690-1931-80th-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1690/small_1931_80th_Anniversary_rum.png,5.569852468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931 (2nd Edition) St Lucia Distillers,43,43,0,fat rum pirate,1931 81st Anniversary,1931,Saint Lucia,23,8.4,Aged,/brands/1691-1931-81st-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1691/small_1931_81st_Anniversary_rum.png,7.21098474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931 (3rd Edition) St Lucia Distillers,43,40,12,fat rum pirate,1931 82nd Anniversary,1931,Saint Lucia,27,7.3,Aged,/brands/1692-1931-82nd-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1692/small_1931_82nd_Anniversary_rum.png,6.558481648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931 (4th Edition) St Lucia Distillers,43,42.5,0,fat rum pirate,1931 83rd Anniversary,1931,Saint Lucia,11,6.9,Aged,/brands/5038-1931-83rd-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5038/small_1931-83rd-anniversary.png,5.826781239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931 (5th Edition) St Lucia Distillers,46,45,0,fat rum pirate,1931 84th Anniversary,1931,Saint Lucia,16,6.8,Aged,/brands/3875-1931-84th-anniversary,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3875/small_1931_84th_Anniversary_rum_400px.png,5.96509779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931 St Lucia Distillers 6th Edition,46,46,0,fat rum pirate,1931 85th Anniversary,1931,Saint Lucia,1,3,Aged,/brands/6866-1931-85th-anniversary,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.63017554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.H Riise Danish Royal Navy Rum,40,10,92,fat rum pirate,A. H. Riise Royal Danish Navy 40%,A. H. Riise,Denmark,106,7.2,Gold,/brands/1307-a-h-riise-royal-danish-navy-40,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1307/small_A.H._Riise_Royal_Danish_Navy_rum.png,6.967768832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.H Riise XO Reserve Rum ""Sauternes Cask"" Limited Edition",40,17,72,fat rum pirate,A. H. Riise XO Reserve Sauternes Cask,A. H. Riise,Denmark,44,6.9,Aged,/brands/1308-a-h-riise-xo-reserve-sauternes-cask,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1308/small_A.H._Riise_XO_Reserve_Sauternes_Cask_rum.png,6.468053225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.H.Riise Centennial Celebration,45,23.5,76,decon,A. H. Riise Centennial Celebration,A. H. Riise,Denmark,22,8.3,Aged,/brands/3904-a-h-riise-centennial-celebration,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3904/small_a-h-riise-centennial-celebration.png,7.108992224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.H.Riise Non-Plus Ultra Very Rare Rum,42,16.2,82,decon,A. H. Riise Non Plus Ultra Very Rare,A. H. Riise,Denmark,126,8,Aged,/brands/1313-a-h-riise-non-plus-ultra-very-rare,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1313/small_A.H._Riise_Non_Plus_Ultra_Very_Rare_rum.png,7.736158399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.H.Riise Royal Danish Navy Rom,40,19,66,decon,A. H. Riise Royal Danish Navy 40%,A. H. Riise,Denmark,106,7.2,Gold,/brands/1307-a-h-riise-royal-danish-navy-40,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1307/small_A.H._Riise_Royal_Danish_Navy_rum.png,6.967768832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.H.Riise XO Port Cask Finish,45,32.4,48,decon,A. H. Riise XO Reserve Port Cask,A. H. Riise,Denmark,16,6.3,Aged,/brands/2022-a-h-riise-xo-reserve-port-cask,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2022/small_A_H_Riise_XO_Port_Cask_rum_400.png,5.671283439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1710 La Perle Brute,66,66,0,fat rum pirate,A 1710 2018 La Perle Brute,A 1710,Martinique,1,7,Agricole,/brands/11657-a-1710-2018-la-perle-brute,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.957291548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Admiral Benbow Fine Old Navy Rum,37.5,37.5,0,fat rum pirate,Admiral Benbow Superior Tot,Unknown,United Kingdom,1,2,Dark,/brands/5267-admiral-benbow-superior-tot,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5267/small_admiral-benbow-superior-tot.png,4.548396538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Admiral Rodney - HMS Formidable,40,40,0,fat rum pirate,Admiral Rodney HMS Formidable,Admiral Rodney,Saint Lucia,14,7.4,Aged,/brands/6468-admiral-rodney-hms-formidable,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6468/small_admiral-rodney-hms-formidable.png,6.231871804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Admiral Rodney - HMS Princessa,40,40,0,fat rum pirate,Admiral Rodney HMS Princessa,Admiral Rodney,Saint Lucia,12,7.1,Aged,/brands/6466-admiral-rodney-hms-princessa,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6466/small_admiral-rodney-hms-princessa.png,5.97630798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
