"","id","itemId","itemNumber","name","name2","price","volume","pricePerLiter","salesStart","packaging","seal","origin","countryOfOrigin","producer","supplier","vintage","alcoholByVolume","assortment","organic","kosher","base","price_per_liter_use"
"1","8733002","1003072","87330","Rhum Selection","Barbados",555,500,1110,"2015-10-01","Flaska","","","Barbados","Granqvist Beverage House AB","Granqvist Beverage House AB","","45.00%","BS",FALSE,FALSE,"",122.1
"2","8797202","1003078","87972","Rhum Selection","Guatemala",555,500,1110,"2015-10-01","Flaska","","","Guatemala","Granqvist Beverage House AB","Granqvist Beverage House AB","","45.00%","BS",FALSE,FALSE,"",122.1
"3","8767002","1003081","87670","Rhum Selection","Trinidad",555,500,1110,"2015-10-01","Flaska","","","Trinidad","Granqvist Beverage House AB","Granqvist Beverage House AB","","45.00%","BS",FALSE,FALSE,"",122.1
"4","8767202","1003084","87672","Rhum Selection","Paraguay",599,500,1198,"2015-10-01","Flaska","","","Paraguay","Granqvist Beverage House AB","Granqvist Beverage House AB","","45.00%","BS",FALSE,FALSE,"",131.78
"5","8767702","1003087","87677","Rhum Selection","Belize",599,500,1198,"2015-10-01","Flaska","","","Belize","Granqvist Beverage House AB","Granqvist Beverage House AB","","45.00%","BS",FALSE,FALSE,"",131.78
"6","8716301","10287509","87163","Cubaney","Exquisito 21 Years",797,700,1138.57,"2018-01-29","Flaska","","","Dominikanska Republiken","Oliver & Oliver","Dica Vin & Sprit HB","","38.00%","BS",FALSE,FALSE,"",125.2427
"7","8015601","10287510","80156","Cubaney","Estupendo 15 Years",638,700,911.43,"2018-01-29","Flaska","","","Dominikanska Republiken","Oliver & Oliver","Dica Vin & Sprit HB","","38.00%","BS",FALSE,FALSE,"",100.2573
"8","8247701","10287512","82477","Ophyum","23 Years",1142,700,1631.43,"2018-01-29","Flaska","","","Dominikanska Republiken","Oliver & Oliver","Dica Vin & Sprit HB","","40.00%","BS",FALSE,FALSE,"",179.4573
"9","8581301","1030104","85813","Gold of Mauritius","",539,700,770,"2015-12-01","Flaska","","","Mauritius","Litchquor Ltd","Herida Aurum AB","","40.00%","BS",FALSE,FALSE,"",84.7
"10","8567501","1030107","85675","Gold of Mauritius","Solera 5",589,700,841.43,"2015-12-01","Flaska","","","Mauritius","Litchquor Ltd","Herida Aurum AB","","40.00%","BS",FALSE,FALSE,"",92.5573
"11","8513701","1030130","85137","Club Mauritius","Rum",399,700,570,"2015-12-01","Flaska","","","Mauritius","Litchquor Ltd","Herida Aurum AB","","40.00%","BS",FALSE,FALSE,"",62.7
"12","8513501","1030422","85135","Ron Aldea Familia","",697,700,995.71,"2015-12-01","Flaska","","Kanarieöarna","Spanien","Destilerías Aldea","Herida Aurum AB","1998","40.00%","BS",FALSE,FALSE,"",109.5281
"13","8543002","1030595","85430","Ron Esclavo","Solera XO Cask",787,500,1574,"2015-12-01","Flaska","","","Dominikanska Republiken","1423","1423 Noble Spirit AB","","65.00%","FS",FALSE,FALSE,"",173.14
"14","8305302","10345561","83053","Bielle","Ambré",628,500,1256,"2018-02-05","Flaska","","Guadeloupe","Frankrike","LMDW / Bielle Distillery","Clydesdale AB","","50.00%","BS",FALSE,FALSE,"",138.16
"15","8322602","10345562","83226","Bielle Vintage","Rhum Vieux Agricole",837,500,1674,"2018-02-05","Flaska","","Guadeloupe","Frankrike","LMDW / Bielle Distillery","Clydesdale AB","2011","42.00%","BS",FALSE,FALSE,"",184.14
"16","8288901","10345564","82889","Neisson","Batch 2",3781,700,5401.43,"2018-02-05","Flaska","","Martinique","Frankrike","LMDW / Neisson Distillery","Clydesdale AB","2000","48.00%","BS",FALSE,FALSE,"",594.1573
"17","8759301","10345566","87593","Neisson","XO par Neisson",1328,700,1897.14,"2018-02-05","Flaska","","Martinique","Frankrike","LMDW / Neisson Distillery","Clydesdale AB","","48.50%","BS",FALSE,FALSE,"",208.6854
"18","8332301","10345568","83323","Pere Labat","Rhum Extra Vieux Agricole De Marie Galant",1445,700,2064.29,"2018-02-05","Flaska","","Guadeloupe","Frankrike","LMDW / Domaine Poisson","Clydesdale AB","","42.00%","BS",FALSE,FALSE,"",227.0719
"19","8334701","10345569","83347","Pere Labat","59",578,700,825.71,"2018-02-05","Flaska","","Guadeloupe","Frankrike","LMDW / Domaine Poisson","Clydesdale AB","","59.00%","BS",FALSE,FALSE,"",90.8281
"20","8334801","10345570","83348","Pere Labat Dore","Rhum Agricole",677,700,967.14,"2018-02-05","Flaska","","Guadeloupe","Frankrike","LMDW / Domaine Poisson","Clydesdale AB","","50.00%","BS",FALSE,FALSE,"",106.3854
"21","8332501","10345572","83325","Pere Labat Soleil","Rhum Brun Agricole de Marie-Galante",647,700,924.29,"2018-02-05","Flaska","","Guadeloupe","Frankrike","LMDW / Domaine Poisson","Clydesdale AB","","55.00%","BS",FALSE,FALSE,"",101.6719
"22","8278901","10362320","82789","Neisson","Le Rhum Agricole Vieux par Neisson",918,700,1311.43,"2018-02-05","Flaska","","Martinique","Frankrike","LMDW / Neisson Distillery","Clydesdale AB","","45.00%","BS",FALSE,FALSE,"",144.2573
"23","8013901","10362324","80139","Mocambo 10","Solera Edition Aniversario",588,700,840,"2018-02-05","Flaska","","","Mexiko","Licores Veracruz","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",92.4
"24","8732101","10362325","87321","Mangoustan's","Carte Gris",439,700,627.14,"2018-02-05","Flaska","","Franska Antillerna","Frankrike","Slaur SAS","Clydesdale AB","","42.00%","BS",FALSE,FALSE,"",68.9854
"25","8218401","10362798","82184","Uitvlugt","Kill Devil Single Cask Rum 17 Years",1234,700,1762.86,"2018-02-05","Flaska","","","Guyana","Edition Spirits","Clydesdale AB","1999","46.00%","BS",FALSE,FALSE,"",193.9146
"26","8683101","1044408","86831","Botran","Sistema 15 Solera Reserva",429,700,612.86,"2016-01-02","Flaska","Naturkork","","Guatemala","Industria Licorera Quezalteca","Arcus Sweden AB","","40.00%","BS",FALSE,FALSE,"",67.4146
"27","71601","1046335","716","The Brand New Republique","Mango",199,700,284.29,"2016-06-01","Flaska","Syntetkork","","Internationellt märke","Enjoy Wine & Spirits","Enjoy Wine & Spirits AB","","32.00%","BS",FALSE,FALSE,"",31.2719
"28","70701","1051778","707","Noble Selected","Caribbean Rum",269,700,384.29,"2016-06-01","Flaska","","","Trinidad","Facile & Co","Facile & Co AB","","37.50%","BS",FALSE,FALSE,"",42.2719
"29","8340302","10616291","83403","Mocambo","Single Barrel 15 Years",577,500,1154,"2018-02-12","Flaska","","","Mexiko","Licores Veracruz","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",126.94
"30","8662001","1064151","86620","Havana Club","Union",2950,700,4214.29,"2016-03-01","Flaska","","","Kuba","Havana Club International","Pernod Ricard Sweden AB","","40.00%","BS",FALSE,FALSE,"",463.5719
"31","8301801","1066075","83018","Clément","Très Vieux Rhum Agricole 10 Years",699,700,998.57,"2016-03-05","Flaska","","Martinique","Frankrike","H Clément","Cask Sweden AB","","44.00%","BS",FALSE,FALSE,"",109.8427
"32","8300502","1067088","83005","Clément Single Cask Vanille Intense","Tres Vieux Rhum Agricole",579,500,1158,"2016-03-05","Flaska","","Martinique","Frankrike","H Clément","Cask Sweden AB","","42.80%","BS",FALSE,FALSE,"",127.38
"33","8305501","1067115","83055","Ron Quorhum","Aniversario 30 Years",999,700,1427.14,"2016-03-08","Flaska","","","Dominikanska Republiken","Oliver & Oliver International Inc","Cask Sweden AB","","40.00%","BS",FALSE,FALSE,"",156.9854
