systembolaget_name,name
1787 Angostura 15 Years,
25 Rums The Original Rum Box,
A-Bay Spirit 8 Years Bourbon Cask  Apelviken 8+,
A.H. Riise Kong Haakon XO Royal Reserve,
A.H. Riise Non Plus Ultra Very Rare Rum,
A.H. Riise Royal Danish Navy Rum,
AB Svenska Sprit Rom Blank,
Amrut Two Indies Rum,
Angostura 1919 Premium Gold Rum,
Angostura 5 Years Old,
Angostura 7 Years Old,
Angostura Reserva,
Appleton Estate 21 Years,
Appleton Estate Rare Blend 12 Years,
Appleton Estate Signature Blend,
Arehucas 7 Years,
Arehucas Blanco,
Arehucas Capitan Kidd,
Arehucas Fresier,
Arehucas Oro,
Arehucas Reserva Especial 12 a√±os,
Arehucas Reserva Especial 18 Years,
Arruco V.S.O.P. Caribbean Rum and VSOP Cognac,
Arruco XO Caribbean Rum and XO Armagnac,
Artesano 8 a√±os Rum Ruby Port Finish,
Artesano 9 a√±os Rum Tawny Port Finish,
Artesano Rum Oloroso Finish,
Artesano Rum Oloroso Finish Cask Strength,
Artesano Rum Recioto Cask Finish 11 Years,
Artesano Rum Recioto Finish Cask Strength,
Atlantico Gran Reserva,
Atlantico Platino,
Atlantico Reserva,
Bacardi 8 a√±os,
Bacardi Carta Blanca,
Bacardi Carta Blanca,
Bacardi Carta Fuego,
Bacardi Carta Negra,
Bacardi Carta Oro,
Bacardi Gran Reserva Diez 10 Years,
Bacardi Lim√≥n ,
Bacardi Pineapple ,
Bacardi Razz ,
Bacardi Spiced,
Bacoo 11 Years,
Bacoo 4 Years,
Bacoo 7 Years,
Barados Rum 13 Years Cask Ref #6,
Barbados Rum Berry Bros & Rudd,
Barbancourt 15 R√©serve du Domaine,
Barbancourt 3 Star 4 Years,
Barcel√≥ Gran A√±ejo,
Barcel√≥ Gran A√±ejo,
Barcel√≥ Imperial Onyx,
Barracuda Rum Silver,
Barracuda Rum Silver,
Bayou Rum Reserve,
Bayou Spiced ,
Bayou White,
BC 12 Years,
BC 18 Years,
BC 8 Years,
Belize Single Cask Cask Strength,
Belize Travellers Kill Devil,
Bem Bom Cachaca,
Bielle Ambr√©,
Bielle Blanc Rhum Agricole de la Guadeloupe,
Bielle Rhum Agricole Blanc,
Bielle Vintage Rhum Vieux Agricole,
Black Tot ,
Black Tot 40 Years,
Blackadder Guyana Port Morant 15 Years,
Botran 18 Solera Reserva,
Botran Reserva Blanca,
Botran Sistema 15 Solera Reserva,
Br√•valla Cask Strength Rhum,
Brave Navigator ,
Bristol Classic Rum Belize Travellers,
Bristol Classic Rum Cuba Sancti Spriritus,
Bristol Classic Rum Port Morant Demerara 16 Years,
Brugal 1888 Gran Reserva Familiar,
Brugal A√±ejo,
Brugal Especial Extra Dry,
Bumbu XO,
By the Dutch Batavia Arrack,
Ca√±a de Emperador 16 Years,
Cacha√ßa 51 ,
Cadenhead Guyana Uitvlugt 25 Years Old,
Cambridge 13 Years Old STCE National Rums of Jamaica,
Captain Morgan Black Spiced,
Captain Morgan Dark Rum,
Captain Morgan Spiced Gold,
Captain Morgan Spiced Gold,
Captain Morgan White Rum,
Capucana Cacha√ßa,
Caroni ,
Caroni ,
Caroni Blended,
Caroni Felicite Gold,
Caroni Kill Devil,
Caroni Kill Devil 17 Years,
Caroni Navy Rum 18 Years,
Caroni VSOC 10 Years,
Casa Magdalena Ron Blanco,
Cavalier Antigua Gold,
Cavalier Antigua White,
Centenario 7 Anejo Especial Ron,
Centenario Ron Fundaci√≥n 20 Years,
Centenario Ron Gran Legado 12 Years,
Centenario Rum Real,
Centenario Rum Reserva de la Familia 18 Years,
Chairman's Reserve Forgotten Casks,
Charanda Real de Uruap√°n Hard,
Cihuat√°n 12 Years,
Cihuat√°n Nahual,
Cihuat√°n Nikte 12 Years,
Cl√©ment Rare Cask,
Cl√©ment Select Barrel Rhum Agricole,
Cl√©ment Single Cask Vanille Intense Tres Vieux Rhum Agricole,
Cl√©ment Tr√®s Vieux Rhum Agricole 10 Years,
Cl√©ment VSOP Rhum Vieux Agricole,
Club Mauritius Rum,
Coloma 15 A√±os,
Coloma 8 Years,
Compa√±ero Extra A√±ejo Panama 12 Years,
Compa√±ero Ron Elixir Orange,
Compa√±ero Ron Gran Reserva,
Compagnie des Indes Florida Cask Strength,
Compagnie Des Indes Jamaica 5 Years Old Blend,
Cubaney Centenario,
Cubaney Estupendo 15 Years,
Cubaney Exquisito 21 Years,
Cubaney Tesoro Gran Reserva 25 Years,
Cuerpo Coconut,
Demarara Rum Guyana Uitvlugt 12 Years,
Diamond Guyana Rum 10 Years,
Diamond Rum Berry's Own Selection 15 Years,
Diplom√°tico Ambassador,
Diplom√°tico Mantuano,
Diplom√°tico Mantuano,
Diplom√°tico Reserva Exclusiva,
Diplom√°tico Reserva Exclusiva,
Diplom√°tico Reserva Exclusiva,
Diplom√°tico Reserva Exclusiva,
Diplom√°tico Selecci√≥n De Familia,
Diplom√°tico Single Vintage,
Diplomatico Planas,
Dominican Rum 12 Years,
Don Papa Rum,
Doorly's 6 Years,
Doorly's XO,
Dos Maderas PX 5+5,
Dygden Premium Blend XO,
Ek Friendship Rum,
El Dorado 12 Years,
El Dorado 15 Years,
El Dorado 3 Years,
El Dorado 8 Year Old,
El Dorado Special Reserve 21 Years,
El Ron Prohibido Solera Gran Reserva 15 Years,
Emperor Heritage Mauritian rum,
Emperor Lily white rum,
Emperor Sherry Cask,
Enghaven Blackstrap,
Enghaven White Rum,
English Harbour 5 Years,
English Harbour Antigua Rum Madeira Cask Finish,
English Harbour Port Finish,
English Harbour Reserve 10 Years,
Enmore 22 Years,
Enmore Sherry Finish 30 Years,
Esclavo 12 Years Speyside Whisky Cask Finish,
Esclavo 12 Years Stauning Whisky Cask Finish,
Esclavo XO  Stauning Whisky Cask Finish,
Fiji Rum Raw Cask 9 Years,
Flor de Ca√±a Centenario 12 Years,
Flor de Ca√±a Centenario 18 Years,
Flor de Ca√±a Extra Seco 4 Years,
Flor de Ca√±a Gran Reserva 7 Years,
Flying Dutchman Dark Rum No 3,
Flying Dutchman PX 5 Years,
Flying Dutchman Rum ,
Forsyths Jamaican Pure Single Rum 11 Years,
Forsyths White Jamaican Pure Single Rum,
Forsyths Worthy Park White Habitation Velier,
Foursquare Habitation Velier,
Foursquare Patrimonio,Foursquare Patrimonio
Foursquare Plenipotenziario 12 YO Single Blended Rum 2007,Foursquare Plenipotenziario 12-Year
Foursquare Premise,Foursquare Premise 10-Year
Gold of Mauritius ,Gold of Mauritius Dark
Gold of Mauritius Solera 5,Gold of Mauritius Solera 5-Year
Gosling's Family Reserve Rum,Gosling's Family Reserve Old
Goslings Black Seal ,Gosling's Black Seal
Guatemala Rum Berry Bros & Rudd,
Gunroom Navy Rum,Gunroom Spirit Navy
Guyana Diamond ,
Guyana Diamond Pot Still 12 Years,
Guyana Diamond Pot Still Port Ellen Finish 11 Years,
Guyana Kill Devil Pot Still 12 Years,
Guyana Port Morant 10 Years,
Guyanan Rum 10 Years Cask Ref #56,
Guyanan Rum 14 Years Cask Ref 3,
H.A.R.R.E.L Barbados 13 Years,H.A.R.R.E.L 2005 Barbados 13-Year 13-Year
H.A.R.R.E.L Skeppsholmen,
Hampden 7 Years Old Habitation Velier,Habitation Velier Hampden HLCF
Hampden Estate Gold,Hampden Estate Gold
Hampden Estate Overproof Pure Single Jamaican Rum,Hampden Estate Pure Single Jamaican Overproof
Havana Club A√±ejo 3 A√±os,Havana Club 3-Year
Havana Club A√±ejo 3 a√±os,
Havana Club A√±ejo 7 a√±os,Havana Club 7-Year
Havana Club A√±ejo Especial,Havana Club Anejo Especial
Havana Club Pacto Navio,Havana Club Pacto Navio
Havana Club Selecci√≥n de Maestro,Havana Club SelecciÃ³n de Maestros
